date,portfolio_value,total_exposure,cash,num_positions,returns
2022-07-13,-3439501.688390934,325782.50765800476,-3765284.1960489387,1,0.0002653754966901456
2022-07-14,-3438774.171814286,0.0,-3438774.171814286,0,-0.00021151801701491113
2022-07-15,-3438832.0059775943,578341.6330814362,-4017173.6390590305,2,1.681824988164493e-05
2022-07-18,-3438165.873634779,252407.968044281,-3690573.84167906,1,-0.00019370889350145415
2022-07-19,-3439412.714564764,0.0,-3439412.714564764,0,0.0003626471135516063
2022-07-20,-3439412.714564764,0.0,-3439412.714564764,0,0.0
2022-07-21,-3439412.714564764,0.0,-3439412.714564764,0,0.0
2022-07-22,-3439412.714564764,0.0,-3439412.714564764,0,0.0
2022-07-25,-3439470.526641571,578120.768070221,-4017591.294711792,2,1.6808705905591026e-05
2022-07-26,-3438240.972226822,576891.2136554718,-4015132.1858822936,2,-0.0003574836316302399
2022-07-27,-3436461.2885981435,876003.4441947937,-4312464.732792937,3,-0.0005176145718273073
2022-07-28,-3440220.208355748,624504.566192627,-4064724.774548375,2,0.0010938344540869505
2022-07-29,-3440252.305293047,879319.3995952606,-4319571.7048883075,3,9.329907783461877e-06
2022-08-01,-3444048.6115693683,34231529.95109558,-37675578.56266495,4,0.0011034964704421668
2022-08-02,-3906981.1386346454,33776966.750621796,-37683947.88925644,4,0.1344152128138314
2022-08-03,-3450958.00943371,33970521.837472916,-37421479.846906625,3,-0.11672007440514531
2022-08-04,-3304230.6262969607,34115298.36058617,-37419528.986883126,3,-0.04251786974389371
2022-08-05,-3640401.9553184146,33780967.980623245,-37421369.93594166,3,0.10173966863753692
2022-08-08,-3034160.461759531,625100.6722450256,-3659261.1340045566,2,-0.1665314712495416
2022-08-09,-3032603.230810129,623543.4412956238,-3656146.672105753,2,-0.0005132328922705653
2022-08-10,-3033063.080644571,624003.2911300659,-3657066.371774637,2,0.00015163534410644885
2022-08-11,-3033734.675979578,624674.8864650726,-3658409.5624446506,2,0.0002214247831813232
2022-08-12,-3033036.377763712,623976.5882492065,-3657012.9660129184,2,-0.00023017774803946178
2022-08-15,-3031746.652460062,622686.8629455566,-3654433.5154056186,2,-0.000425225794555395
2022-08-16,-3033104.7571777934,301422.71518707275,-3334527.472364866,1,0.00044796115025946825
2022-08-17,-3034194.3219601745,877856.3439846039,-3912050.6659447784,3,0.00035922425026790883
2022-08-18,-3034916.3726269836,878578.394651413,-3913494.7672783965,3,0.000237971135066406
2022-08-19,-3030581.684440338,874243.7064647675,-3904825.3909051055,3,-0.0014282726950045621
2022-08-22,-3027678.4614026183,871340.4834270477,-3899018.944829666,3,-0.0009579755109804244
2022-08-23,-3025189.818471634,868851.8404960632,-3894041.658967697,3,-0.0008219640766713443
2022-08-24,-3025280.2089154357,868942.2309398651,-3894222.439855301,3,2.9879263525822708e-05
2022-08-25,-3024616.7943179244,868278.8163423538,-3892895.6106602782,3,-0.00021929029765777042
2022-08-26,-3024660.2163016433,868322.2383260727,-3892982.454627716,3,1.4356193419384766e-05
2022-08-29,-3023700.9093463058,867362.9313707352,-3891063.840717041,3,-0.00031716189149688656
2022-08-30,-3024783.583015167,868445.6050395966,-3893229.1880547637,3,0.0003580624212913275
2022-08-31,-3025696.2195336455,869358.241558075,-3895054.4610917205,3,0.00030171960850466917
2022-09-01,-3025806.935161316,869468.9571857452,-3895275.892347061,3,3.6591785703921076e-05
2022-09-02,-3022494.8093592757,866156.8313837051,-3888651.640742981,3,-0.001094625623185519
2022-09-05,-3019506.2026679153,863168.2246923447,-3882674.42736026,3,-0.0009887880310351926
2022-09-06,-3022529.797285759,866191.8193101883,-3888721.616595947,3,0.0010013540012510092
2022-09-07,-3020428.0481040115,864090.0701284409,-3884518.1182324523,3,-0.0006953609468580702
2022-09-08,-3022473.232477867,866135.2545022964,-3888608.4869801635,3,0.0006771173957080823
2022-09-09,-3021698.357194626,865360.3792190552,-3887058.736413681,3,-0.00025637126407440647
2022-09-12,-3024183.0066144103,867845.0286388397,-3892028.03525325,3,0.0008222691764943058
2022-09-13,-3026318.283408844,869980.3054332733,-3896298.588842117,3,0.0007060673212446744
2022-09-14,-3022665.547236764,287653.8932323456,-3310319.4404691095,1,-0.0012069900882882845
2022-09-15,-3023635.2552026147,288623.6011981964,-3312258.856400811,1,0.0003208121939715092
2022-09-16,-3021352.9897912974,536024.197936058,-3557377.1877273554,2,-0.0007548084403997679
2022-09-19,-3025285.270975494,36227637.20154762,-39252922.472523116,3,0.0013014967789208853
2022-09-20,-2911216.107176208,36342571.94399834,-39253788.051174544,3,-0.037705258705240885
2022-09-21,-2813430.6045040125,36434285.34269333,-39247715.94719734,3,-0.03358922837475109
2022-09-22,-2628340.097239577,36360397.01104164,-38988737.10828122,2,-0.0657881900367916
2022-09-23,-3137544.9915438527,35851604.1636467,-38989149.15519055,2,0.19373630331899205
2022-09-26,-2818151.46851834,35877750.396728516,-38695901.865246855,1,-0.10179727267220884
2022-09-27,-2581151.95679959,36114749.908447266,-38695901.865246855,1,-0.08409750659830717
2022-09-28,-2523153.2995730275,36172748.56567383,-38695901.865246855,1,-0.022470066930300403
2022-09-29,-2596403.116467559,36099498.7487793,-38695901.865246855,1,0.029031060818590193
2022-09-30,-2588151.926282012,36107749.938964844,-38695901.865246855,1,-0.003177931089827335
2022-10-03,-2491903.2995730275,36203998.56567383,-38695901.865246855,1,-0.037188167252317994
2022-10-04,-2566152.5671511525,36129749.2980957,-38695901.865246855,1,0.02979620741737743
2022-10-05,-2749151.224377715,35946750.64086914,-38695901.865246855,1,0.07131246192026719
2022-10-06,-2583650.5835085744,36112251.28173828,-38695901.865246855,1,-0.06020063189015823
2022-10-07,-2436151.499035918,36259750.36621094,-38695901.865246855,1,-0.057089408844269385
2022-10-10,-2325403.208020293,36370498.65722656,-38695901.865246855,1,-0.04546034639448837
2022-10-11,-2277402.872326934,36418498.99291992,-38695901.865246855,1,-0.02064172592856439
2022-10-12,-2228403.0859499807,36467498.779296875,-38695901.865246855,1,-0.021515642652583322
2022-10-13,-2011651.9873171682,36684249.87792969,-38695901.865246855,1,-0.09726745578455809
2022-10-14,-1872652.0483523244,36823249.81689453,-38695901.865246855,1,-0.06909740841914735
2022-10-17,-1537900.9192019338,37158000.94604492,-38695901.865246855,1,-0.17875778335058323
2022-10-18,-1453153.6047488088,37242748.26049805,-38695901.865246855,1,-0.055105835099638956
2022-10-19,-1393651.95679959,37302249.908447266,-38695901.865246855,1,-0.0409465645990702
2022-10-20,-1240652.0788699025,37455249.78637695,-38695901.865246855,1,-0.10978341987266282
2022-10-21,-1151903.146985137,37543998.71826172,-38695901.865246855,1,-0.0715341016198563
2022-10-24,-1741151.8042116994,36954750.061035156,-38695901.865246855,1,0.5115435779204149
2022-10-25,-1474153.5131960744,37221748.35205078,-38695901.865246855,1,-0.15334578545637356
2022-10-26,-1700902.93336209,36994998.931884766,-38695901.865246855,1,0.15381669421552036
2022-10-27,-2162401.193860137,36533500.67138672,-38695901.865246855,1,0.2713254539374721
2022-10-28,-2127401.3464480275,36568500.51879883,-38695901.865246855,1,-0.01618564007062473
2022-10-31,-1742902.7502566213,36952999.114990234,-38695901.865246855,1,-0.1807362756601506
2022-11-01,-1511651.9873171682,37184249.87792969,-38695901.865246855,1,-0.1326813919511024
2022-11-02,-1717153.5437136525,36978748.3215332,-38695901.865246855,1,0.1359450178484547
2022-11-03,-1722902.2924929494,36972999.572753906,-38695901.865246855,1,0.003347836191086362
2022-11-04,-1597650.5224734182,37098251.34277344,-38695901.865246855,1,-0.07269812720389301
2022-11-07,-1985651.0107546682,36710250.85449219,-38695901.865246855,1,0.2428569219760046
2022-11-08,-2039903.635266387,36655998.22998047,-38695901.865246855,1,0.02732233621007718
2022-11-09,-2372152.3230105275,36323749.54223633,-38695901.865246855,1,0.1628746976083275
2022-11-10,-2143651.95679959,36552249.908447266,-38695901.865246855,1,-0.09632617770554674
2022-11-11,-3265946.832516753,0.0,-3265946.832516753,0,0.5235434195169988
2022-11-14,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-15,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-16,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-17,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-18,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-21,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-22,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-23,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-24,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-25,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-28,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-29,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-11-30,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-01,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-02,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-05,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-06,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-07,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-08,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-09,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-12,-3265946.832516753,0.0,-3265946.832516753,0,0.0
2022-12-13,-3266003.863972389,570314.5563602448,-3836318.420332634,2,1.746245684963732e-05
2022-12-14,-3270272.2121893996,574582.9045772552,-3844855.116766655,2,0.0013069023781921985
2022-12-15,-3273083.70367881,577394.3960666656,-3850478.0997454757,2,0.0008597117631159445
2022-12-16,-3266432.7491938705,570743.4415817261,-3837176.1907755965,2,-0.002032014786992553
2022-12-19,-3264356.2212109203,910847.6936817169,-4175203.914892637,3,-0.0006357173535755933
2022-12-20,-3263781.304609739,910272.7770805359,-4174054.081690275,3,-0.00017611944353546072
